Neighborhood,County,Nearest Cafe Distance (m.)
South Bronx,Bronx County,1499
Soundview,Bronx County,1501
Morris Park,Bronx County,1350
Kingsbridge,Bronx County,1000
North Riverdale,Bronx County,970
City Island,Bronx County,619
East New York,Kings County,1963
Bedford Stuyvesant,Kings County,450
Williamsburg,Kings County,503
Flatbush,Kings County,985
Crown Heights,Kings County,651
Bushwick,Kings County,346
Sunset Park,Kings County,627
Sheepshead Bay,Kings County,1116
Park Slope,Kings County,301
Fort Greene,Kings County,410
Greenpoint,Kings County,700
Prospect Lefferts Gardens,Kings County,736
Marine Park,Kings County,1554
Clinton Hill,Kings County,468
Gowanus,Kings County,312
Prospect Heights,Kings County,219
Greenwood,Kings County,616
Windsor Terrace,Kings County,484
Carroll Gardens,Kings County,277
Boerum Hill,Kings County,175
Cobble Hill,Kings County,317
Gerritsen Beach,Kings County,1399
Columbia Street Waterfront District,Kings County,557
DUMBO,Kings County,150
Upper West Side,New York County,484
Upper East Side,New York County,394
Washington Heights,New York County,984
Harlem,New York County,475
East Harlem,New York County,574
Lower East Side,New York County,273
East Village,New York County,260
Gramercy,New York County,288
Hamilton Heights,New York County,415
Chelsea,New York County,223
Greenwich Village,New York County,107
Morningside Heights,New York County,392
Financial District,New York County,196
Clinton,New York County,299
Flatiron District,New York County,126
West Village,New York County,171
Brooklyn Heights,New York County,234
Sutton Place,New York County,191
Tribeca,New York County,211
Turtle Bay,New York County,159
Midtown,New York County,134
Tudor City,New York County,256
Battery Park,New York County,294
Carnegie Hill,New York County,182
Roosevelt Island,New York County,548
SoHo,New York County,378
Little Italy,New York County,127
NoHo,New York County,135
Garment District,New York County,126
Astoria,Queens County,664
Jamaica,Queens County,1500
Elmhurst,Queens County,789
Flushing,Queens County,1235
Forest Hills,Queens County,990
Ridgewood,Queens County,580
Jackson Heights,Queens County,713
East Elmhurst,Queens County,1606
Maspeth,Queens County,1238
Woodside,Queens County,641
Bayside,Queens County,1276
Woodhaven,Queens County,1157
Whitestone,Queens County,1487
Glendale,Queens County,1298
Middle Village,Queens County,1462
Auburndale,Queens County,1508
Kew Gardens,Queens County,835
Jamaica Estates,Queens County,1441
Hunters Point,Queens County,464
Jamaica Hills,Queens County,981
